Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Địa chỉ,latitude,longitude,url
"55,6 m²","1,52 tỷ",,,,Tây - Nam,,2 phòng,1 phòng,,Cơ bản,14/10/2024,29/10/2024,Tin VIP Kim Cương,41005124,"Dự án Phú Đông SkyOne, Đường Vũng Thiện, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",10.9280843734741,106.752738952637,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vung-thien-phuong-tan-dong-hiep-prj-phu-dong-skyone/-gia-tu-1-5-ty-thanh-toan-9tr-thang-cam-ket-thue-lai-8-10tr-thang-o-trung-tam-tp-di-an-pr41005124
"69,7 m²","2,67 tỷ",,,,Tây - Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,14/10/2024,29/10/2024,Tin VIP Kim Cương,41003332,"Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương",10.8722543716431,106.753570556641,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-binh-phuong-an-binh-prj-phu-dong-sky-garden/mo-ban-sap-ban-giao-gia-tu-2-ty-6-chiet-khau-15-pr41003332
69 m²,"2,7 tỷ",,,Đông - Bắc,Tây - Nam,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,24/10/2024,31/10/2024,Tin VIP Kim Cương,41070248,"Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương",10.8722543716431,106.753570556641,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-binh-phuong-an-binh-prj-phu-dong-sky-garden/ban-pham-van-lien-ke-tp-thu-duc-chiet-khau-15-thanh-toan-truoc-600tr-nhan-nha-pr41070248
"59,4 m²","1,2 tỷ",,,Đông,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,25/10/2024,04/11/2024,Tin thường,41058655,"Dự án Iris Tower, Đường Nguyễn Du, Phường Bình Hòa, Thuận An, Bình Dương",10.9190349578857,106.732719421387,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-du-phuong-binh-hoa-prj-iris-tower/gap-chinh-chu-ban-2-png-ngu-1-2-ty-so-san-cong-trong-ngay-pr41058655
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,Có sổ.,,23/10/2024,02/11/2024,Tin thường,40457271,"C SkyView, 212, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9737367630005,106.665023803711,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/so-huu-resort-5-sao-ngay-thanh-p-thu-dau-mot-gia-hi-tu-23tr-m2-nghia-pr40457271
57 m²,"26,5 triệu/m²",,,Tây - Bắc,Đông - Nam,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,21/10/2024,31/10/2024,Tin thường,40344570,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/duy-nhat-8-uoi-ung-thu-dau-mot-k-30-ho-gio-hang-ua-dt-1-8-ty-lh-pr40344570
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,21/10/2024,31/10/2024,Tin thường,37521990,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.97077751159668,106.66522979736328,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/mua-2-ngu-du-an-gia-hi-25tr-m2-dt-63m2-lh-0985901718-pr37521990
79 m²,25 triệu/m²,,,,,,2 phòng,1 phòng,,,21/10/2024,31/10/2024,Tin thường,40451331,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/-ao-ap-du-an-dt-80m2-1-9-ty-lh-hinh-hu-pr40451331
79 m²,"1,9 tỷ",,,,,,2 phòng,1 phòng,,,20/10/2024,30/10/2024,Tin thường,40451325,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/ban-2-ngu-du-an-dt-80m2-1-ty-9-lh-pr40451325
79 m²,25 triệu/m²,,,,,,2 phòng,1 phòng,Có sổ đỏ/hồng.,,20/10/2024,30/10/2024,Tin thường,40343089,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.97077751159668,106.66522979736328,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/ban-2-ngu-du-an-dt-80m2-25-trieu-m2-lh-pr40343089
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,,,20/10/2024,30/10/2024,Tin thường,40453736,"C-SkyView, 212, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/so-huu-resort-5-sao-ngay-thanh-p-thu-dau-mot-gia-hi-tu-25tr-m2-lh-pr40453736
"88,9 m²","3,04 tỷ",,,,,,3 phòng,2 phòng,HĐMB,Cơ bản,01/10/2024,31/10/2024,Tin thường,40929242,"Dự án HT Pearl, Đường Tân Hòa, Phường Đông Hòa, Dĩ An, Bình Dương",10.8884162902832,106.78173828125,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tan-hoa-phuong-dong-hoa-prj-ht-pearl/-ban-3pn-90m2-chi-3ty-bao-het-thue-phi-sang-ten-ban-cong-nam-view-tang-pr40929242
"40,07 m²","1,23 tỷ",,,,,,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,22/10/2024,01/11/2024,Tin VIP Kim Cương,41286330,"Dự án TT AVIO, Đường Tỉnh lộ 743C, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",10.912683486938477,106.74958038330078,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tinh-lo-743c-phuong-tan-dong-hiep-prj-tt-avio/-tieu-chuan-nhat-ban-c-nguoi-viet-tu-tp-chi-minh-di-26-phut-nam-trung-tam-tp-di-an-pr41286330
200 m²,100 triệu/m²,,,,,,4 phòng,4 phòng,,,05/10/2024,,Tin thường,41117152,"Dự án Masteri Centre Point, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.8352479934692,106.830223083496,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-xien-phuong-long-thanh-my-prj-masteri-centre-point/chinh-thuc-mo-ban-duplex-central-khong-gian-song-dang-cap-giua-pho-pr41117152?source=ad&adid=2610046
51 m²,"1,59 tỷ",,,Tây - Nam,Đông - Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,25/10/2024,01/11/2024,Tin VIP Vàng,40434168,"Dự án Bcons Plaza, Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương",10.8934679031372,106.791641235352,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thong-nhat-phuong-dong-hoa-prj-bcons-plaza/gio-hang-gia-tot-san-chu-dau-tu-homes-thang-7-2024-pr40434168
43 m²,"1,6 tỷ",,,,,,1 phòng,,Hợp đồng mua bán,Cơ bản,24/10/2024,31/10/2024,Tin VIP Vàng,41310581,"Dự án Bcons Avenue, Đường Xa Lộ Hà Nội, Phường Bình Thắng, Dĩ An, Bình Dương",10.90119743347168,106.8332290649414,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-binh-thang-prj-bcons-avenue/20-suat-tang-vang-9999-mat-tien-ngay-tuyen-metro-so-1-pr41310581
70 m²,"1,68 tỷ",,,Nam,Bắc,,2 phòng,2 phòng,,,24/10/2024,31/10/2024,Tin VIP Vàng,40777425,"Dự án Charm City, Đường ĐT 743, Phường Dĩ An, Dĩ An, Bình Dương",10.9066543579102,106.742012023926,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-743-phuong-di-an-prj-charm-city/gio-hang-ban-thang-8-chi-1-650-ty-70m2-2pn-2wc-pr40777425
40 m²,"1,3 tỷ",,,,,,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,23/10/2024,02/11/2024,Tin VIP Vàng,41295388,"Dự án TT AVIO, Đường Tỉnh lộ 743C, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",10.912683486938477,106.74958038330078,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tinh-lo-743c-phuong-tan-dong-hiep-prj-tt-avio/-chuan-nghi-nhat-ban-ban-1-ty-3-ban-giao-day-du-noi-that-cao-cap-tra-gop-13tr-thang-pr41295388
56 m²,"2,7 tỷ",,,,,,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,14/10/2024,,Tin thường,40807507,"Dự án Orchard Hill , Đường Hùng Vương, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương",11.0453233718872,106.678329467773,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hung-vuong-2-phuong-phu-my-prj-orchard-hill-sycamore/capitaland-mo-ban-dot-1-booking-truc-tiep-cdt-duoc-chiet-khau-100tr-pr40807507?source=ad&adid=2595225
40 m²,"1,23 tỷ",,,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,23/10/2024,30/10/2024,Tin VIP Vàng,41293011,"Dự án TT AVIO, Đường Tỉnh lộ 743C, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",10.912683486938477,106.74958038330078,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tinh-lo-743c-phuong-tan-dong-hiep-prj-tt-avio/chi-voi-123tr-so-huu-ngay-chuan-nhat-thanh-toan-nhe-nhang-1-thang-pr41293011
43 m²,"1,49 tỷ",,,,,,1 phòng,1 phòng,Hợp đồng mua bán,,23/10/2024,02/11/2024,Tin VIP Vàng,41292793,"Dự án A&T Sky Garden, Đường Cách Mạng Tháng Tám, Phường Lái Thiêu, Thuận An, Bình Dương",10.907943725585938,106.70101165771484,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cach-mang-thang-tam-phuong-lai-thieu-prj-a-t-sky-garden/so-huu-ngoi-nha-dau-tien-chi-1-490-ty-vietcombank-tro-vay-0-da-co-mau-lien-he-xem-ngay-pr41292793
68 m²,"1,5 tỷ",,,Đông - Bắc,Tây - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,23/10/2024,30/10/2024,Tin VIP Vàng,41107828,"Dự án Thanh Bình Residence, Đường Nguyễn Du, Phường Bình Hòa, Thuận An, Bình Dương",21.026758193969727,105.84119415283203,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-du-phuong-binh-hoa-prj-thanh-binh-residence/-gia-re-dien-tich-lon-tai-tp-thuan-an-pr41107828
72 m²,"2,4 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,19/10/2024,26/10/2024,Tin VIP Vàng,40317351,"Dự án The Rivana, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",10.8790426254272,106.699157714844,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-vinh-phu-prj-the-rivana/ket-tien-ban-gap-1-2-pn-2wc-72m2-tai-moi-nhan-ban-giao-moi-100-pr40317351
70 m²,"1,8 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/10/2024,01/11/2024,Tin VIP Vàng,41288357,"Dự án Charm City, Đường ĐT 743, Phường Dĩ An, Dĩ An, Bình Dương",10.906654357910156,106.74201202392578,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-743-phuong-di-an-prj-charm-city/tho-dia-5-suat-noi-bo-diamond-ck-10-va-ro-hang-sang-nhuong-ruby-sapphire-pr41288357
72 m²,"2,45 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,22/10/2024,29/10/2024,Tin VIP Vàng,40761910,"Dự án The Rivana, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",10.8790426254272,106.699157714844,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-vinh-phu-prj-the-rivana/gio-hang-thien-chi-ban-nhanh-gia-tot-cua-cap-nhat-t09-24-pr40761910
70 m²,"2,35 tỷ",,,,,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,20/10/2024,30/10/2024,Tin VIP Vàng,41264938,"Dự án Happy One Central, Đường 30/4, Phường Phú Hòa, Thủ Dầu Một, Bình Dương",10.975359916687012,106.67195129394531,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-30-4-1-phuong-phu-hoa-prj-happy-one-central/chinh-chu-ket-tien-cat-lo-1pn-50m2-gia-1-65-ty-2pn-2wc-70m2-2-35-ty-pr41264938
56 m²,"2,3 tỷ",,,Tây - Nam,Đông - Bắc,,2 phòng,2 phòng,Hợp đồng đặt cọc,,19/10/2024,26/10/2024,Tin VIP Vàng,41261533,"Dự án Bcons City, Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương",10.891335487365723,106.8016586303711,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thong-nhat-phuong-dong-hoa-prj-bcons-city/so-huu-cao-cap-khu-do-thi-phuc-p-gia-2-3-ty-vnd-tra-truoc-chi-tu-220-trieu-pr41261533
60 m²,"2,1 tỷ",,,Bắc,Nam,,,,Hợp đồng mua bán,,19/10/2024,26/10/2024,Tin VIP Vàng,41261442,"Dự án Bcons Polygon, Phường An Bình, Dĩ An, Bình Dương",10.873369216918945,106.74922943115234,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-binh-prj-bcons-polygon/ban-2pn-2wc-60m2-gia-chi-2-1-ty-vnd-tai-di-an-pr41261442
50 m²,"1,56 tỷ",,,Đông,Tây,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,19/10/2024,26/10/2024,Tin VIP Vàng,41244346,"Dự án Lotus Apartment, Đường Quốc lộ 1A, Phường An Bình, Dĩ An, Bình Dương",10.874297142028809,106.7505111694336,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-1a-phuong-an-binh-prj-lotus-apartment/-gia-chi-1-57-ty-vnd-tai-di-duong-pr41244346
72 m²,"2,55 tỷ",,,,,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,18/10/2024,25/10/2024,Tin thường,31623921,"Dự án Phú Đông Premier, Đường Lê Trọng Tấn, Phường An Bình, Dĩ An, Bình Dương",10.8706159591675,106.756675720215,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-an-binh-prj-phu-dong-premier/ban-ch-view-thong-thoang-2pn-2wc-voi-gia-hot-chi-1-85-ty-lh-0946220732-pr31623921
52 m²,"1,7 tỷ",,,Đông - Nam,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2024,02/11/2024,Tin VIP Vàng,40458622,"Dự án Bcons Plaza, Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương",10.8934679031372,106.791641235352,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thong-nhat-phuong-dong-hoa-prj-bcons-plaza/100-da-xac-thuc-re-duy-con-lai-tang-dep-so-san-52m2-2pn-2wc-1-650tr-full-tron-thue-pr40458622
